,Age,Yearly brutto salary (without bonus and stocks) in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week"
420,31.0,58000.0,26000.0,0.0
421,34.0,72000.0,65000.0,12.967828418230564
422,24.0,46000.0,42000.0,0.0
423,39.0,70000.0,70000.0,0.0
424,42.0,75000.0,75000.0,40.0
425,26.0,105000.0,85000.0,12.967828418230564
426,31.0,50000.0,,12.967828418230564
427,32.0,63000.0,55000.0,12.967828418230564
428,30.0,52000.0,,12.967828418230564
429,23.0,65000.0,,12.967828418230564
430,27.0,60000.0,,32.0
431,27.0,62000.0,40000.0,12.967828418230564
432,27.0,90000.0,75000.0,36.0
433,29.0,69000.0,,30.0
434,32.0,88000.0,86000.0,12.967828418230564
435,31.0,81000.0,75000.0,30.0
436,29.0,18700.0,16000.0,0.0
437,26.0,60000.0,,0.0
438,29.0,56000.0,,12.967828418230564
439,30.0,55000.0,,20.0
440,38.0,70000.0,70000.0,0.0
441,32.0,200000.0,,12.967828418230564
442,25.0,100000.0,73000.0,0.0
443,24.0,48000.0,,12.967828418230564
444,24.0,30000.0,28800.0,12.967828418230564
445,27.0,21120.0,16560.0,12.967828418230564
446,34.0,67500.0,61400.0,12.967828418230564
447,30.0,48000.0,41000.0,12.967828418230564
448,27.0,64000.0,50000.0,12.967828418230564
449,46.0,90000.0,76000.0,40.0
450,48.0,68500.0,,8.0
451,42.0,47500.0,39000.0,10.0
452,40.0,57000.0,54000.0,12.967828418230564
453,23.0,45600.0,,12.967828418230564
454,33.0,90000.0,78000.0,8.0
455,30.0,50000.0,18000.0,12.967828418230564
456,40.0,75000.0,72000.0,12.967828418230564
457,38.0,62000.0,,12.967828418230564
458,28.0,45000.0,30000.0,12.967828418230564
459,38.0,83000.0,80000.0,0.0
460,32.0,66300.0,65000.0,12.967828418230564
461,33.0,65000.0,54000.0,30.0
462,34.0,85000.0,,12.967828418230564
463,35.0,60000.0,60000.0,12.967828418230564
464,37.0,60000.0,60000.0,12.967828418230564
465,40.0,95000.0,,0.0
466,33.0,100000.0,84000.0,32.0
467,36.0,79300.0,73000.0,0.0
468,31.0,60000.0,,12.967828418230564
469,27.0,48000.0,45000.0,12.967828418230564
470,28.0,60000.0,60000.0,40.0
